%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1702028661443589330,35,1702028661442937374,base_link,-0.14983440543675564,0.22886722330637285,-0.8639894437138342,-0.42271939415468507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012284998781979084,0.002210000529885292,0.025508111342787743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.284237282802731,-2.490403756585625,8.454773801458398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028661444961284,36,1702028661444550514,base_link,-0.14979249006391676,0.22889018579593068,-0.8640208816090011,-0.4226575551322373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012284998781979084,0.002210000529885292,0.025508111342787743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.284237282802731,-2.490403756585625,8.454773801458398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028661448301017,37,1702028661447937965,base_link,-0.14979249006391676,0.22889018579593068,-0.8640208816090011,-0.4226575551322373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006957557983696461,-0.003116622567176819,0.028703901916742325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.316485197561429,-2.4630884330427234,8.446369096259303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028661451441262,38,1702028661451153993,base_link,-0.1497774394397813,0.2289103471493515,-0.8640534377243761,-0.42258540954405144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006957557983696461,-0.003116622567176819,0.028703901916742325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.316485197561429,-2.4630884330427234,8.446369096259303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028661454865016,39,1702028661454584121,base_link,-0.1497774394397813,0.2289103471493515,-0.8640534377243761,-0.42258540954405144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006956488825380802,-0.008443020284175873,0.023377547040581703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.298385439223909,-2.4982340032614365,8.445277347773503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028661458131346,40,1702028661457814455,base_link,-0.14977262179427336,0.228931730172942,-0.8640845374193558,-0.4225119369599763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006956488825380802,-0.008443020284175873,0.023377547040581703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.298385439223909,-2.4982340032614365,8.445277347773503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028661461927722,41,1702028661461447954,base_link,-0.14977262179427336,0.228931730172942,-0.8640845374193558,-0.4225119369599763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026943348348140717,-0.01589985378086567,0.02124696411192417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.349637007134802,-2.460584968260358,8.43007589053234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028661465173775,42,1702028661464718818,base_link,-0.14979563628357273,0.22895089901050364,-0.8641052403896131,-0.4224510465413605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026943348348140717,-0.01589985378086567,0.02124696411192417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.349637007134802,-2.460584968260358,8.43007589053234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028661468321902,43,1702028661467977523,base_link,-0.14979563628357273,0.22895089901050364,-0.8641052403896131,-0.4224510465413605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037586214020848274,-0.011638641357421875,0.013790038414299488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.335782862887888,-2.4434334393986945,8.442192842687021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028661471823809,44,1702028661471367597,base_link,-0.14980521900386926,0.22896962768269963,-0.8641188378072764,-0.4224096827780473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037586214020848274,-0.011638641357421875,0.013790038414299488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.335782862887888,-2.4434334393986945,8.442192842687021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
