%time,field.role,field.id,field.local_time,field.system_time,field.voltage,field.pos_3d0,field.pos_3d1,field.pos_3d2,field.eop_3d0,field.eop_3d1,field.eop_3d2,field.vel_3d0,field.vel_3d1,field.vel_3d2,field.angle_3d0,field.angle_3d1,field.angle_3d2,field.quaternion0,field.quaternion1,field.quaternion2,field.quaternion3,field.imu_gyro_3d0,field.imu_gyro_3d1,field.imu_gyro_3d2,field.imu_acc_3d0,field.imu_acc_3d1,field.imu_acc_3d2,field.nodes0.role,field.nodes0.id,field.nodes0.dis,field.nodes0.fp_rssi,field.nodes0.rx_rssi
1703250046206678562,0,0,489654,489638,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.04399999976158142,-81.5,-77.5
1703250046226338468,0,0,489674,489658,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.09700000286102295,-81.0,-77.0
1703250046246332657,0,0,489694,489678,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.08500000089406967,-81.5,-77.0
1703250046266748646,0,0,489714,489698,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0430000014603138,-81.0,-77.5
1703250046286499701,0,0,489734,489718,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.06400000303983688,-82.0,-77.5
1703250046305306578,0,0,489754,489738,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703250046325395338,0,0,489774,489758,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703250046346204071,0,0,489794,489778,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.07100000232458115,-81.0,-76.0
1703250046366335228,0,0,489814,489798,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.05999999865889549,-80.5,-76.5
1703250046386775943,0,0,489834,489818,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.02500000037252903,-82.0,-77.0
1703250046406305236,0,0,489854,489838,4.939000129699707,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.032999999821186066,-81.5,-77.5
1703250046426354464,0,0,489874,489858,4.939000129699707,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0689999982714653,-80.5,-76.5
1703250046446414518,0,0,489894,489878,4.939000129699707,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.04699999839067459,-81.5,-76.5
1703250046466378184,0,0,489914,489898,4.939000129699707,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.039000000804662704,-81.0,-77.0
1703250046486377681,0,0,489934,489918,4.939000129699707,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.05700000002980232,-81.0,-76.0
1703250046505346531,0,0,489954,489938,4.939000129699707,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703250046527040213,0,0,489974,489958,4.940999984741211,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.06300000101327896,-80.5,-76.5
1703250046545382823,0,0,489994,489978,4.940999984741211,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703250046566395925,0,0,490014,489998,4.940999984741211,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.06300000101327896,-81.5,-77.0
1703250046586572482,0,0,490034,490018,4.940999984741211,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0860000029206276,-81.0,-76.5
1703250046606409308,0,0,490054,490038,4.940999984741211,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703250046626352370,0,0,490074,490058,4.940999984741211,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.06300000101327896,-80.5,-77.0
1703250046645401612,0,0,490094,490078,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703250046666406403,0,0,490114,490098,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.061000000685453415,-81.5,-76.5
1703250046686503266,0,0,490134,490118,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.054999999701976776,-81.5,-76.5
1703250046706605297,0,0,490154,490138,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0689999982714653,-80.5,-76.0
1703250046726430458,0,0,490174,490158,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.052000001072883606,-81.5,-76.5
1703250046746428000,0,0,490194,490178,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.10000000149011612,-80.5,-76.5
1703250046766401864,0,0,490214,490198,4.940999984741211,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.03799999877810478,-81.5,-76.5
1703250046786430487,0,0,490234,490218,4.940999984741211,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.10499999672174454,-81.0,-76.5
1703250046807025281,0,0,490254,490238,4.940999984741211,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.05000000074505806,-81.0,-77.0
1703250046826371718,0,0,490274,490258,4.940999984741211,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0820000022649765,-81.0,-76.5
1703250046846398036,0,0,490294,490278,4.940999984741211,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.07999999821186066,-80.0,-76.5
1703250046866412620,0,0,490314,490298,4.940999984741211,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703250046886570249,0,0,490334,490318,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.11100000143051147,-80.0,-76.5
1703250046906532868,0,0,490354,490338,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.05999999865889549,-81.0,-76.0
1703250046926829839,0,0,490374,490358,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703250046946518312,0,0,490394,490378,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.10899999737739563,-81.0,-76.5
1703250046966585071,0,0,490414,490398,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.10599999874830246,-81.5,-76.5
1703250046986467087,0,0,490434,490418,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.12999999523162842,-80.5,-76.5
1703250047006524905,0,0,490454,490438,4.942999839782715,1.0,1.0,1.0,0.0,0.0,0.0,-9.999999747378752e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.09600000083446503,-81.0,-76.5
